DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	6q25.3	6	158910228	NR	C6orf99			100130967			rs78995442-?	rs78995442	0	78995442	non_coding_transcript_exon_variant	0	NR	5E-6	5.301029995663981	(AA)	0.6532	[NR] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	17q25.3	17	79309121	NR	RBFOX3			146713			rs79211555-?	rs79211555	0	79211555	intron_variant	0	NR	3E-8	7.522878745280337	(AA)	1.6521	[NR] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	2q36.1	2	223197727	NR	LOC105373905 - LOC105373906	105373905	105373906		83053	5329	rs79351035-?	rs79351035	0	79351035	intron_variant	1	NR	7E-6	5.154901959985743	(AA)	0.8247	[NR] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	7p14.3	7	29416664	NR	CHN2			1124			rs79489058-?	rs79489058	0	79489058	intron_variant	0	NR	5E-6	5.301029995663981	(AA)	1.3914	[NR] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	18p11.22	18	10592716	NR	NAPG - LOC105371990	8774	105371990		39947	3130	rs8098600-?	rs8098600	0	8098600	upstream_gene_variant	1	NR	8E-6	5.096910013008056	(AA)	0.3827	[NR] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	5q23.1	5	117367334	NR	LOC105379139			105379139			rs10070219-?	rs10070219	0	10070219	intergenic_variant	0	NR	7E-6	5.154901959985743	(EA)	0.3481	[0.2-0.5] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	9p23	9	10060843	NR	PTPRD			5789			rs10958852-?	rs10958852	0	10958852	intron_variant	0	NR	3E-7	6.522878745280337	(EA)	0.8906	[0.55-1.23] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	11q14.2	11	88441800	NR	LOC101929174 - GRM5-AS1	101929174	100873989		13608	62776	rs11019935-?	rs11019935	0	11019935	intergenic_variant	1	NR	3E-7	6.522878745280337	(EA)	0.8885	[0.55-1.22] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	8p22	8	13035349	NR	KIAA1456 - RNU6-842P	57604	106481447		5572	9001	rs113367091-?	rs113367091	0	113367091	downstream_gene_variant	1	NR	3E-6	5.522878745280337	(EA)	0.8257	[0.48-1.17] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	17p13.1	17	8885434	NR	PIK3R5			23533			rs114619297-?	rs114619297	0	114619297	intron_variant	0	NR	5E-6	5.301029995663981	(EA)	1.3777	[0.79-1.96] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	5q13.3	5	76053677	NR	SV2C			22987			rs117041666-?	rs117041666	0	117041666	intergenic_variant	0	NR	2E-6	5.698970004336019	(EA)	1.1009	[0.65-1.55] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	10p11.23	10	30288009	NR	LOC101929279 - RNU6-598P	101929279	106479830		55319	11560	rs12220014-?	rs12220014	0	12220014	intergenic_variant	1	NR	4E-6	5.3979400086720375	(EA)	0.6201	[0.36-0.88] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	3p21.31	3	49475886	NR	DAG1			1605			rs142316462-?	rs142316462	0	142316462	intron_variant	0	NR	3E-6	5.522878745280337	(EA)	0.6756	[0.4-0.96] unit increase	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	18q12.1	18	33861956	NR	NOL4			8715			rs142429341-?	rs142429341	0	142429341	intron_variant	0	NR	4E-6	5.3979400086720375	(EA)	0.3124	[0.18-0.44] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	2q31.2	2	178090295	NR	PDE11A			50940			rs145244554-?	rs145244554	0	145244554	intron_variant	0	NR	5E-6	5.301029995663981	(EA)	0.6734	[0.39-0.96] unit increase	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	2q32.3	2	194286481	NR	HNRNPA1P47 - LOC101927406	100287191	101927406		97972	57788	rs150734725-?	rs150734725	0	150734725	intergenic_variant	1	NR	6E-6	5.221848749616356	(EA)	1.4012	[0.8-2] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	7q32.3	7	132133338	NR	PLXNA4			91584			rs182006024-?	rs182006024	0	182006024	intron_variant	0	NR	4E-6	5.3979400086720375	(EA)	0.6284	[0.36-0.89] unit increase	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	8q21.3	8	86114530	NR	ATP6V0D2			245972			rs183497284-?	rs183497284	0	183497284	intron_variant	0	NR	7E-6	5.154901959985743	(EA)	1.3425	[0.77-1.92] unit increase	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	16q12.2	16	53342547	NR	RNA5SP427 - LOC100996483	100873678	100996483		4976	11975	rs2080364-?	rs2080364	0	2080364	downstream_gene_variant	1	NR	2E-6	5.698970004336019	(EA)	0.2572	[0.15-0.36] unit increase	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	12p13.31	12	6006558	NR	VWF			7450			rs2532859-?	rs2532859	0	2532859	intron_variant	0	NR	2E-6	5.698970004336019	(EA)	0.2726	[0.16-0.38] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	5q35.1	5	171470204	NR	LOC105377721			105377721			rs3097847-?	rs3097847	0	3097847	intergenic_variant	0	NR	2E-6	5.698970004336019	(EA)	0.4669	[0.28-0.65] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	16q21	16	66549802	NR	TK2			7084			rs3743714-?	rs3743714	0	3743714	5_prime_UTR_variant	0	NR	7E-6	5.154901959985743	(EA)	0.4757	[0.27-0.68] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	7q21.11	7	78053573	NR	MAGI2			9863			rs3807766-?	rs3807766	0	3807766	intron_variant	0	NR	4E-6	5.3979400086720375	(EA)	0.2122	[0.12-0.3] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	7p14.1	7	40322235	NR	SUGCT			79783			rs3857747-?	rs3857747	0	3857747	intron_variant	0	NR	1E-6	6.0	(EA)	0.2401	[0.15-0.33] unit increase	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	11p15.4	11	4803398	NR	OR52Y1P - OR52R1	81240	119695		9137	35	rs61880854-?	rs61880854	0	61880854	intron_variant	1	NR	2E-6	5.698970004336019	(EA)	0.5821	[0.34-0.82] unit increase	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	18p11.21	18	14010932	NR	RPL36AP49 - LOC100128776	284230	100128776		90952	42974	rs71363185-?	rs71363185	0	71363185	downstream_gene_variant	1	NR	5E-6	5.301029995663981	(EA)	0.3871	[0.22-0.55] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	18q21.1	18	49157384	NR	DYM			54808			rs72923818-?	rs72923818	0	72923818	intron_variant	0	NR	1E-6	6.0	(EA)	0.4612	[0.28-0.65] unit increase	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	22q11.21	22	20967502	NR	AIFM3			150209			rs73164810-?	rs73164810	0	73164810	intron_variant	0	NR	7E-7	6.154901959985743	(EA)	0.4181	[0.26-0.58] unit increase	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	20q13.2	20	55616161	NR	LOC105372676			105372676			rs73625555-?	rs73625555	0	73625555	intergenic_variant	0	NR	2E-6	5.698970004336019	(EA)	1.0117	[0.6-1.43] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	6q24.1	6	140127710	NR	LOC100507477 - LOC105378025	100507477	105378025		33989	12902	rs75402058-?	rs75402058	0	75402058	intergenic_variant	1	NR	7E-6	5.154901959985743	(EA)	0.9986	[0.57-1.43] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	17q11.2	17	28362619	NR	TMEM199			147007			rs756766-?	rs756766	0	756766	3_prime_UTR_variant	0	NR	7E-6	5.154901959985743	(EA)	0.5607	[0.32-0.8] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	5q15	5	95184169	NR	LOC105379085, MCTP1			105379085, 79772			rs75927821-?	rs75927821	0	75927821	intron_variant	0	NR	4E-6	5.3979400086720375	(EA)	0.3466	[0.2-0.49] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	9q21.33	9	84765758	NR	NTRK2			4915			rs77362122-?	rs77362122	0	77362122	intron_variant	0	NR	7E-6	5.154901959985743	(EA)	0.4737	[0.27-0.68] unit increase	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	3p26.1	3	4993129	NR	LOC105376934			105376934			rs78745845-?	rs78745845	0	78745845	intergenic_variant	0	NR	3E-6	5.522878745280337	(EA)	1.0382	[0.61-1.47] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	3q13.12	3	106575615	NR	LOC101929485			101929485			rs79757846-?	rs79757846	0	79757846	intergenic_variant	0	NR	4E-6	5.3979400086720375	(EA)	0.9748	[0.57-1.38] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	11q12.2	11	61717684	NR	DAGLA			747			rs10488693-?	rs10488693	0	10488693	intron_variant	0	NR	7E-8	7.154901959985743	(Japanese)	0.8403	[NR] unit decrease	Illumina [up to 11892802] (imputed)	N
2016-07-14	26053186	Park SL	2015-06-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/26053186	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	3-hydroxypropylmercapturic acid levels in smokers	362 African American current smoker individuals, 329 Native Hawaiian ancestry current smoker individuals, 438 European ancestry current smoker individuals, 449 Latino current smoker individuals, 704 Japanese ancestry current smoker individuals	NA	11p12	11	36485319	NR	TRAF6			7189			rs10501157-?	rs10501157	0	10501157	downstream_gene_variant	0	NR	7E-9	8.154901959985743	(Japanese)	0.8987	[NR] unit decrease	Illumina [up to 11892802] (imputed)	N
